"","V1","V2","V3","V4","V5","V6"
"50","type=strongsubj","len=1","word1=absurdly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"51","type=strongsubj","len=1","word1=absurdness","pos1=noun","stemmed1=n","priorpolarity=negative"
"52","type=weaksubj","len=1","word1=abundant","pos1=adj","stemmed1=n","priorpolarity=positive"
"53","type=weaksubj","len=1","word1=abundance","pos1=noun","stemmed1=n","priorpolarity=positive"
"54","type=weaksubj","len=1","word1=abuse","pos1=adj","stemmed1=n","priorpolarity=negative"
"55","type=weaksubj","len=1","word1=abuse","pos1=noun","stemmed1=n","priorpolarity=negative"
"56","type=strongsubj","len=1","word1=abuse","pos1=verb","stemmed1=y","priorpolarity=negative"
"57","type=weaksubj","len=1","word1=abuses","pos1=adj","stemmed1=n","priorpolarity=negative"
"58","type=weaksubj","len=1","word1=abuses","pos1=noun","stemmed1=n","priorpolarity=negative"
"59","type=strongsubj","len=1","word1=abusive","pos1=adj","stemmed1=n","priorpolarity=negative"
"60","type=strongsubj","len=1","word1=abysmal","pos1=adj","stemmed1=n","priorpolarity=negative"
"61","type=strongsubj","len=1","word1=abysmally","pos1=anypos","stemmed1=n","priorpolarity=negative"
"62","type=strongsubj","len=1","word1=abyss","pos1=noun","stemmed1=n","priorpolarity=negative"
"63","type=strongsubj","len=1","word1=accede","pos1=verb","stemmed1=y","priorpolarity=positive"
"64","type=strongsubj","len=1","word1=accentuate","pos1=verb","stemmed1=y","priorpolarity=neutral"
"65","type=weaksubj","len=1","word1=accept","pos1=verb","stemmed1=y","priorpolarity=positive"
"66","type=weaksubj","len=1","word1=acceptance","pos1=noun","stemmed1=n","priorpolarity=positive"
"67","type=weaksubj","len=1","word1=acceptable","pos1=adj","stemmed1=n","priorpolarity=positive"
"68","type=weaksubj","len=1","word1=accessible","pos1=adj","stemmed1=n","priorpolarity=positive"
"69","type=weaksubj","len=1","word1=accidental","pos1=adj","stemmed1=n","priorpolarity=negative"
"70","type=strongsubj","len=1","word1=acclaim","pos1=noun","stemmed1=n","priorpolarity=positive"
"71","type=strongsubj","len=1","word1=acclaim","pos1=verb","stemmed1=y","priorpolarity=positive"
"72","type=strongsubj","len=1","word1=acclaimed","pos1=adj","stemmed1=n","priorpolarity=positive"
"73","type=strongsubj","len=1","word1=acclamation","pos1=anypos","stemmed1=y","priorpolarity=positive"
"74","type=strongsubj","len=1","word1=accolade","pos1=noun","stemmed1=n","priorpolarity=positive"
"75","type=strongsubj","len=1","word1=accolades","pos1=noun","stemmed1=n","priorpolarity=positive"
"76","type=weaksubj","len=1","word1=accommodative","pos1=adj","stemmed1=n","priorpolarity=positive"
"77","type=weaksubj","len=1","word1=accomplish","pos1=verb","stemmed1=y","priorpolarity=positive"
"78","type=weaksubj","len=1","word1=accomplishment","pos1=noun","stemmed1=n","priorpolarity=positive"
"79","type=weaksubj","len=1","word1=accomplishments","pos1=noun","stemmed1=n","priorpolarity=positive"
"80","type=weaksubj","len=1","word1=accord","pos1=verb","stemmed1=y","priorpolarity=positive"
"81","type=weaksubj","len=1","word1=accordance","pos1=noun","stemmed1=n","priorpolarity=positive"
"82","type=weaksubj","len=1","word1=accordantly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"83","type=weaksubj","len=1","word1=accost","pos1=verb","stemmed1=y","priorpolarity=negative"
"84","type=weaksubj","len=1","word1=accountable","pos1=adj","stemmed1=n","priorpolarity=negative"
"85","type=weaksubj","len=1","word1=accurate","pos1=adj","stemmed1=n","priorpolarity=positive"
"86","type=weaksubj","len=1","word1=accurately","pos1=adj","stemmed1=n","priorpolarity=positive"
"87","type=strongsubj","len=1","word1=accursed","pos1=adj","stemmed1=n","priorpolarity=negative"
"88","type=strongsubj","len=1","word1=accusation","pos1=adj","stemmed1=n","priorpolarity=negative"
"89","type=strongsubj","len=1","word1=accusation","pos1=noun","stemmed1=n","priorpolarity=negative"
"90","type=strongsubj","len=1","word1=accusations","pos1=adj","stemmed1=n","priorpolarity=negative"
"91","type=strongsubj","len=1","word1=accusations","pos1=noun","stemmed1=n","priorpolarity=negative"
"92","type=strongsubj","len=1","word1=accuse","pos1=verb","stemmed1=y","priorpolarity=negative"
"93","type=strongsubj","len=1","word1=accuses","pos1=verb","stemmed1=n","priorpolarity=negative"
"94","type=strongsubj","len=1","word1=accusing","pos1=anypos","stemmed1=n","priorpolarity=negative"
"95","type=strongsubj","len=1","word1=accusingly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"96","type=strongsubj","len=1","word1=acerbate","pos1=verb","stemmed1=y","priorpolarity=negative"
"97","type=strongsubj","len=1","word1=acerbic","pos1=adj","stemmed1=n","priorpolarity=negative"
"98","type=strongsubj","len=1","word1=acerbically","pos1=adverb","stemmed1=n","priorpolarity=negative"
"99","type=strongsubj","len=1","word1=ache","pos1=verb","stemmed1=y","priorpolarity=negative"
"100","type=weaksubj","len=1","word1=achievable","pos1=adj","stemmed1=n","priorpolarity=positive"
"101","type=weaksubj","len=1","word1=achieve","pos1=verb","stemmed1=y","priorpolarity=positive"
"102","type=weaksubj","len=1","word1=achievement","pos1=anypos","stemmed1=n","priorpolarity=positive"
"103","type=weaksubj","len=1","word1=achievements","pos1=anypos","stemmed1=n","priorpolarity=positive"
"104","type=weaksubj","len=1","word1=acknowledge","pos1=verb","stemmed1=y","priorpolarity=positive"
"105","type=weaksubj","len=1","word1=acknowledgement","pos1=noun","stemmed1=n","priorpolarity=positive"
"106","type=weaksubj","len=1","word1=acquit","pos1=verb","stemmed1=y","priorpolarity=positive"
"107","type=strongsubj","len=1","word1=acrid","pos1=adj","stemmed1=n","priorpolarity=negative"
"108","type=strongsubj","len=1","word1=acridly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"109","type=strongsubj","len=1","word1=acridness","pos1=noun","stemmed1=n","priorpolarity=negative"
"110","type=strongsubj","len=1","word1=acrimonious","pos1=adj","stemmed1=n","priorpolarity=negative"
"111","type=strongsubj","len=1","word1=acrimoniously","pos1=anypos","stemmed1=n","priorpolarity=negative"
"112","type=strongsubj","len=1","word1=acrimony","pos1=noun","stemmed1=n","priorpolarity=negative"
"113","type=weaksubj","len=1","word1=active","pos1=adj","stemmed1=n","priorpolarity=positive"
"114","type=strongsubj","len=1","word1=activist","pos1=adj","stemmed1=n","priorpolarity=neutral"
"115","type=strongsubj","len=1","word1=activist","pos1=noun","stemmed1=n","priorpolarity=neutral"
"116","type=strongsubj","len=1","word1=actual","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"117","type=strongsubj","len=1","word1=actuality","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"118","type=strongsubj","len=1","word1=actually","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"119","type=strongsubj","len=1","word1=acumen","pos1=noun","stemmed1=n","priorpolarity=positive"
"120","type=strongsubj","len=1","word1=adamant","pos1=adj","stemmed1=n","priorpolarity=negative"
"121","type=strongsubj","len=1","word1=adamantly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"122","type=weaksubj","len=1","word1=adaptable","pos1=adj","stemmed1=n","priorpolarity=positive"
"123","type=weaksubj","len=1","word1=adaptability","pos1=noun","stemmed1=n","priorpolarity=positive"
"124","type=weaksubj","len=1","word1=adaptive","pos1=adj","stemmed1=n","priorpolarity=positive"
"125","type=weaksubj","len=1","word1=addict","pos1=noun","stemmed1=n","priorpolarity=negative"
"126","type=weaksubj","len=1","word1=addiction","pos1=noun","stemmed1=n","priorpolarity=negative"
"127","type=weaksubj","len=1","word1=adept","pos1=adj","stemmed1=n","priorpolarity=positive"
"128","type=weaksubj","len=1","word1=adeptly","pos1=adverb","stemmed1=n","priorpolarity=positive"
"129","type=weaksubj","len=1","word1=adequate","pos1=adj","stemmed1=n","priorpolarity=positive"
"130","type=weaksubj","len=1","word1=adherence","pos1=noun","stemmed1=n","priorpolarity=positive"
"131","type=weaksubj","len=1","word1=adherent","pos1=adj","stemmed1=n","priorpolarity=positive"
"132","type=weaksubj","len=1","word1=adhesion","pos1=noun","stemmed1=n","priorpolarity=positive"
"133","type=strongsubj","len=1","word1=admirable","pos1=adj","stemmed1=n","priorpolarity=positive"
"134","type=strongsubj","len=1","word1=admirer","pos1=noun","stemmed1=n","priorpolarity=positive"
"135","type=strongsubj","len=1","word1=admirable","pos1=anypos","stemmed1=n","priorpolarity=positive"
"136","type=strongsubj","len=1","word1=admirably","pos1=anypos","stemmed1=n","priorpolarity=positive"
"137","type=strongsubj","len=1","word1=admiration","pos1=noun","stemmed1=n","priorpolarity=positive"
"138","type=strongsubj","len=1","word1=admire","pos1=verb","stemmed1=y","priorpolarity=positive"
"139","type=strongsubj","len=1","word1=admiring","pos1=adj","stemmed1=n","priorpolarity=positive"
"140","type=strongsubj","len=1","word1=admiringly","pos1=adj","stemmed1=n","priorpolarity=positive"
"141","type=weaksubj","len=1","word1=admission","pos1=adj","stemmed1=n","priorpolarity=positive"
"142","type=weaksubj","len=1","word1=admission","pos1=noun","stemmed1=n","priorpolarity=positive"
"143","type=strongsubj","len=1","word1=admit","pos1=verb","stemmed1=y","priorpolarity=positive"
"144","type=strongsubj","len=1","word1=admittedly","pos1=anypos","stemmed1=y","priorpolarity=positive"
"145","type=strongsubj","len=1","word1=admonish","pos1=verb","stemmed1=y","priorpolarity=negative"
"146","type=strongsubj","len=1","word1=admonisher","pos1=anypos","stemmed1=y","priorpolarity=negative"
"147","type=strongsubj","len=1","word1=admonishingly","pos1=anypos","stemmed1=y","priorpolarity=negative"
"148","type=strongsubj","len=1","word1=admonishment","pos1=anypos","stemmed1=y","priorpolarity=negative"
"149","type=strongsubj","len=1","word1=admonition","pos1=noun","stemmed1=n","priorpolarity=negative"
"150","type=strongsubj","len=1","word1=adolescents","pos1=adj","stemmed1=n","priorpolarity=neutral"
"151","type=strongsubj","len=1","word1=adolescents","pos1=noun","stemmed1=n","priorpolarity=neutral"
"152","type=strongsubj","len=1","word1=adorable","pos1=adj","stemmed1=n","priorpolarity=positive"
"153","type=strongsubj","len=1","word1=adore","pos1=verb","stemmed1=y","priorpolarity=positive"
"154","type=strongsubj","len=1","word1=adored","pos1=adj","stemmed1=n","priorpolarity=positive"
"155","type=strongsubj","len=1","word1=adorer","pos1=anypos","stemmed1=y","priorpolarity=positive"
"156","type=strongsubj","len=1","word1=adorer","pos1=noun","stemmed1=n","priorpolarity=positive"
"157","type=strongsubj","len=1","word1=adoring","pos1=adj","stemmed1=n","priorpolarity=positive"
"158","type=strongsubj","len=1","word1=adoringly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"159","type=weaksubj","len=1","word1=adrift","pos1=anypos","stemmed1=n","priorpolarity=negative"
"160","type=strongsubj","len=1","word1=adroit","pos1=adj","stemmed1=n","priorpolarity=positive"
"161","type=strongsubj","len=1","word1=adroitly","pos1=adj","stemmed1=n","priorpolarity=positive"
"162","type=strongsubj","len=1","word1=adulate","pos1=verb","stemmed1=y","priorpolarity=positive"
"163","type=strongsubj","len=1","word1=adulation","pos1=anypos","stemmed1=y","priorpolarity=positive"
"164","type=strongsubj","len=1","word1=adulatory","pos1=adj","stemmed1=n","priorpolarity=positive"
"165","type=strongsubj","len=1","word1=adulterate","pos1=verb","stemmed1=y","priorpolarity=negative"
"166","type=strongsubj","len=1","word1=adulterated","pos1=anypos","stemmed1=n","priorpolarity=negative"
"167","type=strongsubj","len=1","word1=adulteration","pos1=noun","stemmed1=n","priorpolarity=negative"
"168","type=weaksubj","len=1","word1=advanced","pos1=adj","stemmed1=n","priorpolarity=positive"
"169","type=weaksubj","len=1","word1=advantage","pos1=adj","stemmed1=n","priorpolarity=positive"
"170","type=weaksubj","len=1","word1=advantage","pos1=noun","stemmed1=n","priorpolarity=positive"
"171","type=strongsubj","len=1","word1=advantageous","pos1=adj","stemmed1=n","priorpolarity=positive"
"172","type=weaksubj","len=1","word1=advantages","pos1=adj","stemmed1=n","priorpolarity=positive"
"173","type=weaksubj","len=1","word1=advantages","pos1=noun","stemmed1=n","priorpolarity=positive"
"174","type=weaksubj","len=1","word1=adventure","pos1=adj","stemmed1=n","priorpolarity=positive"
"175","type=weaksubj","len=1","word1=adventure","pos1=noun","stemmed1=n","priorpolarity=positive"
"176","type=strongsubj","len=1","word1=adventuresome","pos1=noun","stemmed1=n","priorpolarity=positive"
"177","type=strongsubj","len=1","word1=adventurism","pos1=noun","stemmed1=n","priorpolarity=positive"
"178","type=weaksubj","len=1","word1=adventurous","pos1=adj","stemmed1=n","priorpolarity=positive"
"179","type=weaksubj","len=1","word1=adversarial","pos1=adj","stemmed1=n","priorpolarity=negative"
"180","type=weaksubj","len=1","word1=adversary","pos1=noun","stemmed1=y","priorpolarity=negative"
"181","type=weaksubj","len=1","word1=adverse","pos1=adj","stemmed1=n","priorpolarity=negative"
"182","type=strongsubj","len=1","word1=adversity","pos1=noun","stemmed1=n","priorpolarity=negative"
"183","type=weaksubj","len=1","word1=advice","pos1=adj","stemmed1=n","priorpolarity=positive"
"184","type=weaksubj","len=1","word1=advice","pos1=noun","stemmed1=n","priorpolarity=positive"
"185","type=weaksubj","len=1","word1=advisable","pos1=noun","stemmed1=n","priorpolarity=positive"
"186","type=strongsubj","len=1","word1=advocate","pos1=verb","stemmed1=y","priorpolarity=positive"
"187","type=strongsubj","len=1","word1=advocacy","pos1=noun","stemmed1=n","priorpolarity=positive"
"188","type=strongsubj","len=1","word1=affable","pos1=adj","stemmed1=n","priorpolarity=positive"
"189","type=weaksubj","len=1","word1=affability","pos1=noun","stemmed1=n","priorpolarity=positive"
"190","type=weaksubj","len=1","word1=affably","pos1=adverb","stemmed1=n","priorpolarity=positive"
"191","type=weaksubj","len=1","word1=affect","pos1=verb","stemmed1=y","priorpolarity=neutral"
"192","type=weaksubj","len=1","word1=affectation","pos1=noun","stemmed1=n","priorpolarity=negative"
"193","type=strongsubj","len=1","word1=affected","pos1=adj","stemmed1=n","priorpolarity=neutral"
"194","type=strongsubj","len=1","word1=affection","pos1=adj","stemmed1=n","priorpolarity=positive"
"195","type=strongsubj","len=1","word1=affection","pos1=noun","stemmed1=n","priorpolarity=positive"
"196","type=strongsubj","len=1","word1=affectionate","pos1=adj","stemmed1=n","priorpolarity=positive"
"197","type=weaksubj","len=1","word1=affinity","pos1=noun","stemmed1=n","priorpolarity=positive"
"198","type=strongsubj","len=1","word1=affirm","pos1=verb","stemmed1=y","priorpolarity=positive"
"199","type=strongsubj","len=1","word1=affirmation","pos1=adj","stemmed1=n","priorpolarity=positive"
"200","type=strongsubj","len=1","word1=affirmation","pos1=noun","stemmed1=n","priorpolarity=positive"
"201","type=weaksubj","len=1","word1=affirmative","pos1=noun","stemmed1=n","priorpolarity=positive"
"202","type=weaksubj","len=1","word1=afflict","pos1=verb","stemmed1=y","priorpolarity=negative"
"203","type=weaksubj","len=1","word1=affliction","pos1=noun","stemmed1=n","priorpolarity=negative"
"204","type=strongsubj","len=1","word1=afflictive","pos1=adj","stemmed1=n","priorpolarity=negative"
"205","type=weaksubj","len=1","word1=affluent","pos1=adj","stemmed1=n","priorpolarity=positive"
"206","type=weaksubj","len=1","word1=affluence","pos1=noun","stemmed1=n","priorpolarity=positive"
"207","type=weaksubj","len=1","word1=afford","pos1=verb","stemmed1=y","priorpolarity=positive"
"208","type=weaksubj","len=1","word1=affordable","pos1=adj","stemmed1=n","priorpolarity=positive"
"209","type=strongsubj","len=1","word1=affront","pos1=noun","stemmed1=n","priorpolarity=negative"
"210","type=strongsubj","len=1","word1=affront","pos1=verb","stemmed1=y","priorpolarity=negative"
"211","type=weaksubj","len=1","word1=afloat","pos1=adj","stemmed1=n","priorpolarity=positive"
"212","type=strongsubj","len=1","word1=afraid","pos1=adj","stemmed1=n","priorpolarity=negative"
"213","type=weaksubj","len=1","word1=against","pos1=anypos","stemmed1=n","priorpolarity=negative"
"214","type=strongsubj","len=1","word1=aggravate","pos1=verb","stemmed1=y","priorpolarity=negative"
"215","type=strongsubj","len=1","word1=aggravating","pos1=adj","stemmed1=n","priorpolarity=negative"
"216","type=strongsubj","len=1","word1=aggravation","pos1=noun","stemmed1=n","priorpolarity=negative"
"217","type=strongsubj","len=1","word1=aggression","pos1=adj","stemmed1=n","priorpolarity=negative"
"218","type=strongsubj","len=1","word1=aggression","pos1=noun","stemmed1=n","priorpolarity=negative"
"219","type=strongsubj","len=1","word1=aggressive","pos1=anypos","stemmed1=y","priorpolarity=negative"
"220","type=strongsubj","len=1","word1=aggressiveness","pos1=noun","stemmed1=n","priorpolarity=negative"
"221","type=strongsubj","len=1","word1=aggressor","pos1=noun","stemmed1=n","priorpolarity=negative"
"222","type=strongsubj","len=1","word1=aggrieve","pos1=verb","stemmed1=y","priorpolarity=negative"
"223","type=strongsubj","len=1","word1=aggrieved","pos1=adj","stemmed1=n","priorpolarity=negative"
"224","type=strongsubj","len=1","word1=aghast","pos1=adj","stemmed1=n","priorpolarity=negative"
"225","type=weaksubj","len=1","word1=agile","pos1=adj","stemmed1=n","priorpolarity=positive"
"226","type=weaksubj","len=1","word1=agilely","pos1=adverb","stemmed1=n","priorpolarity=positive"
"227","type=weaksubj","len=1","word1=agility","pos1=noun","stemmed1=n","priorpolarity=positive"
"228","type=strongsubj","len=1","word1=agitate","pos1=verb","stemmed1=y","priorpolarity=negative"
"229","type=strongsubj","len=1","word1=agitated","pos1=adj","stemmed1=n","priorpolarity=negative"
"230","type=strongsubj","len=1","word1=agitation","pos1=noun","stemmed1=n","priorpolarity=negative"
"231","type=strongsubj","len=1","word1=agitator","pos1=noun","stemmed1=n","priorpolarity=negative"
"232","type=strongsubj","len=1","word1=agonies","pos1=noun","stemmed1=n","priorpolarity=negative"
"233","type=strongsubj","len=1","word1=agonize","pos1=verb","stemmed1=y","priorpolarity=negative"
"234","type=strongsubj","len=1","word1=agonizing","pos1=adj","stemmed1=n","priorpolarity=negative"
"235","type=strongsubj","len=1","word1=agonizing","pos1=anypos","stemmed1=y","priorpolarity=negative"
"236","type=strongsubj","len=1","word1=agonizingly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"237","type=strongsubj","len=1","word1=agony","pos1=noun","stemmed1=n","priorpolarity=negative"
"238","type=strongsubj","len=1","word1=agree","pos1=verb","stemmed1=y","priorpolarity=positive"
"239","type=strongsubj","len=1","word1=agreeability","pos1=anypos","stemmed1=y","priorpolarity=positive"
"240","type=weaksubj","len=1","word1=agreeable","pos1=adj","stemmed1=n","priorpolarity=positive"
"241","type=strongsubj","len=1","word1=agreeable","pos1=anypos","stemmed1=y","priorpolarity=positive"
"242","type=strongsubj","len=1","word1=agreeableness","pos1=anypos","stemmed1=y","priorpolarity=positive"
"243","type=strongsubj","len=1","word1=agreeably","pos1=anypos","stemmed1=y","priorpolarity=positive"
"244","type=weaksubj","len=1","word1=agreement","pos1=adj","stemmed1=n","priorpolarity=positive"
"245","type=weaksubj","len=1","word1=agreement","pos1=noun","stemmed1=n","priorpolarity=positive"
"246","type=strongsubj","len=1","word1=aha","pos1=anypos","stemmed1=y","priorpolarity=neutral"
"247","type=weaksubj","len=1","word1=ail","pos1=noun","stemmed1=n","priorpolarity=negative"
"248","type=weaksubj","len=1","word1=ail","pos1=verb","stemmed1=y","priorpolarity=negative"
"249","type=weaksubj","len=1","word1=ailment","pos1=noun","stemmed1=n","priorpolarity=negative"
"250","type=strongsubj","len=1","word1=aimless","pos1=adj","stemmed1=n","priorpolarity=negative"
"251","type=strongsubj","len=1","word1=air","pos1=verb","stemmed1=y","priorpolarity=neutral"
"252","type=weaksubj","len=1","word1=airs","pos1=adj","stemmed1=n","priorpolarity=negative"
"253","type=weaksubj","len=1","word1=airs","pos1=noun","stemmed1=n","priorpolarity=negative"
"254","type=weaksubj","len=1","word1=alarm","pos1=adj","stemmed1=n","priorpolarity=negative"
"255","type=weaksubj","len=1","word1=alarm","pos1=verb","stemmed1=y","priorpolarity=negative"
"256","type=strongsubj","len=1","word1=alarmed","pos1=adj","stemmed1=n","priorpolarity=negative"
"257","type=strongsubj","len=1","word1=alarming","pos1=adj","stemmed1=n","priorpolarity=negative"
"258","type=strongsubj","len=1","word1=alarmingly","pos1=anypos","stemmed1=n","priorpolarity=negative"
"259","type=strongsubj","len=1","word1=alas","pos1=anypos","stemmed1=y","priorpolarity=negative"
"260","type=weaksubj","len=1","word1=alert","pos1=adj","stemmed1=n","priorpolarity=neutral"
"261","type=weaksubj","len=1","word1=alienate","pos1=verb","stemmed1=y","priorpolarity=negative"
"262","type=weaksubj","len=1","word1=alienated","pos1=adj","stemmed1=n","priorpolarity=negative"
"263","type=weaksubj","len=1","word1=alienation","pos1=noun","stemmed1=n","priorpolarity=negative"
"264","type=weaksubj","len=1","word1=all-time","pos1=adj","stemmed1=n","priorpolarity=neutral"
"265","type=weaksubj","len=1","word1=all-time","pos1=noun","stemmed1=n","priorpolarity=neutral"
"266","type=strongsubj","len=1","word1=allay","pos1=verb","stemmed1=y","priorpolarity=positive"
"267","type=strongsubj","len=1","word1=allegation","pos1=anypos","stemmed1=n","priorpolarity=negative"
"268","type=strongsubj","len=1","word1=allegations","pos1=adj","stemmed1=n","priorpolarity=negative"
"269","type=weaksubj","len=1","word1=allege","pos1=verb","stemmed1=n","priorpolarity=negative"
"270","type=strongsubj","len=1","word1=allegations","pos1=noun","stemmed1=n","priorpolarity=negative"
"271","type=strongsubj","len=1","word1=allegorize","pos1=verb","stemmed1=y","priorpolarity=neutral"
"272","type=weaksubj","len=1","word1=allergic","pos1=adj","stemmed1=n","priorpolarity=negative"
"273","type=weaksubj","len=1","word1=alleviate","pos1=verb","stemmed1=y","priorpolarity=positive"
"274","type=strongsubj","len=1","word1=alliance","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"275","type=strongsubj","len=1","word1=alliances","pos1=adj","stemmed1=n","priorpolarity=neutral"
"276","type=strongsubj","len=1","word1=alliances","pos1=noun","stemmed1=n","priorpolarity=neutral"
"277","type=weaksubj","len=1","word1=allow","pos1=verb","stemmed1=y","priorpolarity=positive"
"278","type=weaksubj","len=1","word1=allowable","pos1=adj","stemmed1=n","priorpolarity=positive"
"279","type=strongsubj","len=1","word1=allure","pos1=verb","stemmed1=y","priorpolarity=positive"
"280","type=strongsubj","len=1","word1=allure","pos1=noun","stemmed1=n","priorpolarity=positive"
"281","type=strongsubj","len=1","word1=alluring","pos1=anypos","stemmed1=n","priorpolarity=positive"
"282","type=strongsubj","len=1","word1=alluringly","pos1=anypos","stemmed1=n","priorpolarity=positive"
"283","type=strongsubj","len=1","word1=allusion","pos1=adj","stemmed1=n","priorpolarity=neutral"
"284","type=strongsubj","len=1","word1=allusion","pos1=noun","stemmed1=n","priorpolarity=neutral"
"285","type=strongsubj","len=1","word1=allusions","pos1=anypos","stemmed1=n","priorpolarity=neutral"
"286","type=strongsubj","len=1","word1=ally","pos1=noun","stemmed1=y","priorpolarity=positive"
"287","type=strongsubj","len=1","word1=almighty","pos1=adj","stemmed1=n","priorpolarity=positive"
"288","type=strongsubj","len=1","word1=aloof","pos1=adj","stemmed1=n","priorpolarity=negative"
